@RELATION /data/classifier/VoiceGenderAgeClassifier
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {MaleAdult,FemaleAdult}

@DATA
0.135455,0.010342,2.795750,0.210117,0.203266,1.126772,0.011897,0.208364,-25.524957,2.207143,-0.332740,0.084667,-0.107914,0.188422,0.256528,-0.071933,-0.076168,0.347116,-0.230850,0.087420,-0.048592,0.011934,0.005838,0.017477,0.010428,0.017932,0.013394,0.038595,0.006070,0.007432,0.015568,0.031182,0.013352,0.016456,0.058030,0.008300,0.554012,0.049592,0.035329,0.599723,0.006223,0.095921,2.264139,0.958073,1.101637,0.399110,0.791960,0.390576,0.245680,0.312344,0.386886,0.294796,0.194039,0.287484,0.122805,0.008936,0.006721,0.017514,0.008853,0.012748,0.009222,0.044262,0.008278,0.005961,0.007817,0.023496,0.020552,0.009727,MaleAdult
0.135455,0.010342,2.795750,0.210117,0.203266,1.126772,0.011897,0.208364,-25.524957,2.207143,-0.332740,0.084667,-0.107914,0.188422,0.256528,-0.071933,-0.076168,0.347116,-0.230850,0.087420,-0.048592,0.011934,0.005838,0.017477,0.010428,0.017932,0.013394,0.038595,0.006070,0.007432,0.015568,0.031182,0.013352,0.016456,0.058030,0.008300,0.554012,0.049592,0.035329,0.599723,0.006223,0.095921,2.264139,0.958073,1.101637,0.399110,0.791960,0.390576,0.245680,0.312344,0.386886,0.294796,0.194039,0.287484,0.122805,0.008936,0.006721,0.017514,0.008853,0.012748,0.009222,0.044262,0.008278,0.005961,0.007817,0.023496,0.020552,0.009727,MaleAdult
0.135455,0.010342,2.795750,0.210117,0.203266,1.126772,0.011897,0.208364,-25.524957,2.207143,-0.332740,0.084667,-0.107914,0.188422,0.256528,-0.071933,-0.076168,0.347116,-0.230850,0.087420,-0.048592,0.011934,0.005838,0.017477,0.010428,0.017932,0.013394,0.038595,0.006070,0.007432,0.015568,0.031182,0.013352,0.016456,0.058030,0.008300,0.554012,0.049592,0.035329,0.599723,0.006223,0.095921,2.264139,0.958073,1.101637,0.399110,0.791960,0.390576,0.245680,0.312344,0.386886,0.294796,0.194039,0.287484,0.122805,0.008936,0.006721,0.017514,0.008853,0.012748,0.009222,0.044262,0.008278,0.005961,0.007817,0.023496,0.020552,0.009727,MaleAdult
0.063066,0.018285,3.003250,0.095794,0.117449,0.449750,0.009237,0.092746,-25.157417,-0.191227,-1.454601,-0.376446,-0.485277,0.114063,0.226475,-0.059377,0.205981,0.253170,0.054846,0.195050,-0.179095,0.008094,0.006995,0.007121,0.008309,0.006852,0.010527,0.010461,0.010066,0.009040,0.010928,0.007948,0.009401,0.009978,0.015407,0.022743,0.330056,0.020302,0.038684,0.294336,0.004999,0.026477,1.776660,0.590299,0.718219,0.377854,0.527687,0.311318,0.308632,0.260679,0.271953,0.244653,0.220924,0.200364,0.214441,0.007443,0.006542,0.007908,0.010548,0.005579,0.014398,0.012966,0.013225,0.011722,0.014727,0.008188,0.010580,0.007594,MaleAdult
0.135455,0.010342,2.795750,0.210117,0.203266,1.126772,0.011897,0.208364,-25.524957,2.207143,-0.332740,0.084667,-0.107914,0.188422,0.256528,-0.071933,-0.076168,0.347116,-0.230850,0.087420,-0.048592,0.011934,0.005838,0.017477,0.010428,0.017932,0.013394,0.038595,0.006070,0.007432,0.015568,0.031182,0.013352,0.016456,0.058030,0.008300,0.554012,0.049592,0.035329,0.599723,0.006223,0.095921,2.264139,0.958073,1.101637,0.399110,0.791960,0.390576,0.245680,0.312344,0.386886,0.294796,0.194039,0.287484,0.122805,0.008936,0.006721,0.017514,0.008853,0.012748,0.009222,0.044262,0.008278,0.005961,0.007817,0.023496,0.020552,0.009727,MaleAdult
0.063066,0.018285,3.003250,0.095794,0.117449,0.449750,0.009237,0.092746,-25.157417,-0.191227,-1.454601,-0.376446,-0.485277,0.114063,0.226475,-0.059377,0.205981,0.253170,0.054846,0.195050,-0.179095,0.008094,0.006995,0.007121,0.008309,0.006852,0.010527,0.010461,0.010066,0.009040,0.010928,0.007948,0.009401,0.009978,0.015407,0.022743,0.330056,0.020302,0.038684,0.294336,0.004999,0.026477,1.776660,0.590299,0.718219,0.377854,0.527687,0.311318,0.308632,0.260679,0.271953,0.244653,0.220924,0.200364,0.214441,0.007443,0.006542,0.007908,0.010548,0.005579,0.014398,0.012966,0.013225,0.011722,0.014727,0.008188,0.010580,0.007594,MaleAdult
0.135455,0.010342,2.795750,0.210117,0.203266,1.126772,0.011897,0.208364,-25.524957,2.207143,-0.332740,0.084667,-0.107914,0.188422,0.256528,-0.071933,-0.076168,0.347116,-0.230850,0.087420,-0.048592,0.011934,0.005838,0.017477,0.010428,0.017932,0.013394,0.038595,0.006070,0.007432,0.015568,0.031182,0.013352,0.016456,0.058030,0.008300,0.554012,0.049592,0.035329,0.599723,0.006223,0.095921,2.264139,0.958073,1.101637,0.399110,0.791960,0.390576,0.245680,0.312344,0.386886,0.294796,0.194039,0.287484,0.122805,0.008936,0.006721,0.017514,0.008853,0.012748,0.009222,0.044262,0.008278,0.005961,0.007817,0.023496,0.020552,0.009727,MaleAdult
0.063066,0.018285,3.003250,0.095794,0.117449,0.449750,0.009237,0.092746,-25.157417,-0.191227,-1.454601,-0.376446,-0.485277,0.114063,0.226475,-0.059377,0.205981,0.253170,0.054846,0.195050,-0.179095,0.008094,0.006995,0.007121,0.008309,0.006852,0.010527,0.010461,0.010066,0.009040,0.010928,0.007948,0.009401,0.009978,0.015407,0.022743,0.330056,0.020302,0.038684,0.294336,0.004999,0.026477,1.776660,0.590299,0.718219,0.377854,0.527687,0.311318,0.308632,0.260679,0.271953,0.244653,0.220924,0.200364,0.214441,0.007443,0.006542,0.007908,0.010548,0.005579,0.014398,0.012966,0.013225,0.011722,0.014727,0.008188,0.010580,0.007594,MaleAdult
0.135455,0.010342,2.795750,0.210117,0.203266,1.126772,0.011897,0.208364,-25.524957,2.207143,-0.332740,0.084667,-0.107914,0.188422,0.256528,-0.071933,-0.076168,0.347116,-0.230850,0.087420,-0.048592,0.011934,0.005838,0.017477,0.010428,0.017932,0.013394,0.038595,0.006070,0.007432,0.015568,0.031182,0.013352,0.016456,0.058030,0.008300,0.554012,0.049592,0.035329,0.599723,0.006223,0.095921,2.264139,0.958073,1.101637,0.399110,0.791960,0.390576,0.245680,0.312344,0.386886,0.294796,0.194039,0.287484,0.122805,0.008936,0.006721,0.017514,0.008853,0.012748,0.009222,0.044262,0.008278,0.005961,0.007817,0.023496,0.020552,0.009727,MaleAdult
0.117430,0.013411,2.968974,0.202157,0.197860,0.935929,0.011133,0.199940,-26.036508,2.168360,-0.058317,-0.154034,-0.769738,0.242062,-0.083490,-0.064027,-0.004311,-0.233543,-0.174292,-0.052254,-0.199107,0.030215,0.010036,0.020015,0.008850,0.012758,0.017380,0.016513,0.002494,0.005992,0.017654,0.028342,0.008860,0.017407,0.091569,0.013568,0.351124,0.094574,0.037203,0.692336,0.007957,0.161797,2.202079,0.851608,0.441305,0.384068,0.418908,0.290170,0.270863,0.231138,0.201116,0.240273,0.206064,0.193266,0.215970,0.027304,0.011081,0.022443,0.009128,0.009195,0.017017,0.017248,0.003428,0.006069,0.020390,0.027352,0.010054,0.009592,FemaleAdult
